#DONT REMOVE TESTS
test1;-1 -      asd1 -test DA 1
test2;-.,-:`?test DA 2
test3;:::"""""""test DA 3
test4;+-.,123test DA 4

#USAGE:
#key;value
#e.g.
#throwDiceText;Du kastede med terningerne!

welcomeText;Velkommen!
languageSetText;Sprog: Dansk
getDan;Dansk
player;Spiller
roll;kast
rolled;Du slog
gold; guld mønter
gain;Du får
lose;Du mister
yBalance;Dit guld:
p1Won;Spiller 1 du vandt!
p2Won;Spiller 2 du vandt!
exTurn;Du får en ekstra tur!


tower;Du finder et tårn med en kiste fuld af guld.

crater;Du falder i et krater og skal betale nogen for at hejse dig op:

palace;Du møder dronningen ved paladsets port, hun giver dig 100 guld mønter så du skrider.

desert;Du ender ud i en kold ørken. En person sælger tæpper. Det er for koldt til ikke at købe en.

city;Du rejser til den befæstede by. Du er den 1.000.000.000.000 ankommende og får en gave.

monastery;Du rejser til klosteret for at bede. Ingenting hænder.

cave;Du ender ud i en grote. Du kan ingenting se og du snubler over en sten. Noget af dit guld falder ud af din lomme og du kan ikke finde det igen.

huts;Du tager på en vandre tur og finder nogle hytter i bjergene. Du plyndre dem for en lille smule guld.

werewall;Du har faret vild og er uheldigvis stødt på Vareulve-muren. En vareulv ser dig og sætter i jagt. Du kaster hvad end der er i dine lommer efter den.

pit;Du falder ned i en grube. Heldigvis er der en stige så du kan komme op. Desværre skal man betale for at bruge den.

goldmine;Du rejser til en forladt guldmine for tjene en hurtig skilling, af en eller anden grund virker det.
