#DONT REMOVE TESTS!
test1;-1 -      asd1 -test JP 1
test2;-.,-:`?test JP 2
test3;:::"""""""test JP 3
test4;+-.,123test JP 4

#USAGE:
#key;value
#e.g.
#throwDiceText;サイコロを振った！

welcomeText;ようこそ!
languageSetText;日本語
getJap;日本語
player;プレーヤー
roll;サイコロを振って！
rolled;サイコロは：
gold;金
gain;プレーヤーは金をもらった：
lose;プレーヤーは金を失った：
yBalance;プレーヤーの金：
p1Won;プレーヤー１は勝ちました！
p2Won;プレーヤー２は勝ちました！
exTurn;追加ターン！

tower;プレーヤーはタワーで金がいっぱい金庫を見つけます
crater;プレーヤーはクレーターに転んだから助けることを買わなくてはいけません！
palace;プレーヤーは城の門で女王様に合った。女王様はプレーヤーを行きたかったから、プレーヤーに１００金をくれた。
desert;プレーヤーは寒い砂漠にいます。人は毛布を売っています。寒すぎから毛布を買いました。
city;プレーヤーは城壁都市に行く。あなたのエントラントの番号は1.000.000.000.000です、そして、賞金をもらった。
monastery;プレーヤーは修道院で祈ります。なにも起こらなかったです。
cave;プレーヤーは真っ暗洞窟にいます！何も見えないから、石でつまずきました。金を失いました。
huts;プレーヤーは散歩に行って、山で小屋を見つける。プレーヤーは小屋を掃除して、ちょっと金を見つける
werewall;プレーヤーは道に迷ったから、狼男の壁に行かれた。狼男はプレーヤーを見つけたから、プレーヤーに追います！ プレーヤーは狼男にポケットの金を投げています！
pit;プレーヤーはピットに転んだ。運良くはしごがある。不運にもそのはしごを使えることが無料じゃない。
goldmine;プレーヤーは早く金をもらう望みために、放棄された金の鉱山に来た。機能しました。
