#DONT REMOVE TESTS!
test1;-1 -      asd1 -test JP 1
test2;-.,-:`?test JP 2
test3;:::"""""""test JP 3
test4;+-.,123test JP 4

#USAGE:
#key;value
#e.g.
#throwDiceText;サイコロを振った！
start;行け！
startsub; ← ２＄をもらって
chance;機会

noowner;所有者はいない
tryluck;あなたの運を試験して！
price;価格

burger;バーガージョイント
pizza;ピザハウス
candy;お菓子屋
ice;アイスクリーム屋
museum;美術館
library;図書館
skate;スケート公園
pool;プール
arcade;ゲームアケーど
cinema;映画館
toystore;おもちゃ屋
petstore;ペット屋
bowling;ボウリングアリー
zoo;動物園
waterpark;公園
beach;ビーチ


can;オレンジ色フィールドに行って。もう所有者がいたら、レントを支払う。所有者がいなければ、無料でフィールドをもらって。
prison;刑務所
parking;パーキング
gotojail;刑務所に行って



case1;ウフォにこのカードをあげて。次の順番に、ウフォは何か所有者がないフィールドに行って買うが出来る。全てフィールドは所有者があれば、他のプレーヤーのフィールドを買って！
case2;刑務所に行って
case3; ５つフィールド以下に動いて！
case4;オレンジ色フィールドに行って。もう所有者がいたら、レントを支払う。所有者がいなければ、無料でフィールドをもらって。
case5;一つフィールド動いてか他の機会カードを取って
case5opt1;一つフィールド動いて！
case5opt2; 機会カードを取って
case6;レースカーにこのカードをあげて。次の順番に、レースカーは何か所有者がないフィールドに行って買うが出来る。全てフィールドは所有者があれば、他のプレーヤーのフィールドを買って！
case7;お菓子を食べすぎだったから、銀行に2$をあげて!
case8;オレンジ色か緑色フィールドに行って。もう所有者がいたら、レントを支払う。所有者がいなければ、無料でフィールドをもらって。
case9;青いフィールドに行って。もう所有者がいたら、レントを支払う。所有者がいなければ、無料でフィールドをもらって。
case10;”刑務所から放れて”カードをもらう。刑務所にいるときにこのカードを使用して！
case11;ビーチに動いて
case12;車にこのカードをあげて。次の順番に、車は何か所有者がないフィールドに行って買うが出来る。全てフィールドは所有者があれば、他のプレーヤーのフィールドを買って！
case13;トラクターにこのカードをあげて。次の順番に、トラクターは何か所有者がないフィールドに行って買うが出来る。全てフィールドは所有者があれば、他のプレーヤーのフィールドを買って！
case14;あなたの誕生日だ。あなたは皆さんに1$をもらう。
case15;ピンクか暗い青いフィールドに行って。もう所有者がいたら、レントを支払う。所有者がいなければ、無料でフィールドをもらって。
case16;あなたの誕生日だから、あなたは銀行に2$をもらう
case17;赤いフィールドに行って。もう所有者がいたら、レントを支払う。所有者がいなければ、無料でフィールドをもらって。
case18;スケート公園に動いて。もう所有者がいたら、レントを支払う。所有者がいなければ、無料でフィールドをもらって。
case19;赤いか青いフィールドに行って。もう所有者がいたら、レントを支払う。所有者がいなければ、無料でフィールドをもらって。
case20;茶色か黄色フィールドに行って。もう所有者がいたら、レントを支払う。所有者がいなければ、無料でフィールドをもらって。
throwDice;サイコロを振って！
chooseLanguage;Choose game language
howManyPlayers;何人がゲームをしたいか？
tooManyOrFew;プレーヤーは多すぎか少しすぎ
enterAge;歳を入力して
enterPlayerName;名前を入力して
playerNameTaken;名前がもう使用したから、別の名前を選んで！
addedPlayer;プレーヤーを作った
gotojailprompt;刑務所に動いた
BoughtField;財産を買った：
YouPay;あなたは支払った:
PaysRent;プレーヤーに支払った：
RentDoubled;所有者は全て色のフィールドがあるから、レントが倍増した
WonTheGame;は勝った！
yesTxt;はい
noTxt;いいえ
restartQuestion;リスタートがしたいか？
