#DONT REMOVE TESTS
test1;-1 -      asd1 -test TH 1
test2;-.,-:`?test TU 2
test3;:::"""""""test TH 3
test4;+-.,123test TH 4

#USAGE:
#key;value
#e.g.
#throwDiceText;คุณโยนลูกเต๋าแล้ว!

start;เริ่ม
startsub;← ได้รับ 2฿
chance;บัตรเสี่ยงโชค

noowner;ว่าง
tryluck;เสี่ยงโชค
price;ราคา:

burger;ร้านเบอร์เกอร์
pizza;ร้านพิซซ่า
candy;ร้านขนมหวาน
ice;ร้านไอติม
museum;พิพิธภัณฑ์
library;ห้องสมุด
skate;ลานสเกต
pool;สระว่ายน้ำ
arcade;ร้านเกมส์
cinema;โรงภาพยนต์
toystore;ร้านขายของเล่น
petstore;ร้านขายสัตว์เลี้ยง
bowling;ลานโบว์ลิ่ง
zoo;สวนสัตว์
waterpark;สวนน้ำ
beach;ชายหาด


can;ย้ายไปที่ดินสีส้ม ถ้ามันยังไม่มีเจ้าของคุณสามารถเป็นเจ้าของได้ฟรี  ถ้ามีเจ้าของแล้ว คุณต้องจ่ายค่าเช่า
prison;ติดคุก
parking;ลานจอดรถ
gotojail;ต้องโทษจำคุก



case1;ให้บัตรเสี่ยงโชคใบนี้กับผู้เล่นที่ขับรถ เขาจะได้รับสิทธ์ย้ายไปที่ดินว่างในตาถัดไปและได้กรรมสิทธิ์เป็นเจ้าของฟรี ถ้าไม่มีที่ดินว่างเหลือแล้ว ให้ซิ้อที่ดินจากผู้เล่นคนอื่น
case2;กลับไปจุดเริ่มต้น
case3; เลื่อนได้ 5 ครั้ง
case4;เลื่อนไปที่ดินสีส้ม ถ้าไม่มีเจ้าของ มันเป็นของคุณ ถ้ามีเจ้าของแล้วคุณต้องจ่ายค่าเช่า
case5;เลื่อนไป 1 ครั้ง หรือเสี่ยงใบนำโชคอีกครั้ง
case5opt1;เลื่อนไป 1 ครั้ง
case5opt2; จับใบเสี่ยงโชค
case6;ให้บัตรเสี่ยงโชคใบนี้กับผู้เล่นที่ขับเรือ เขาจะได้รับสิทธ์ย้ายไปที่ดินว่างในตาถัดไปและได้กรรมสิทธิ์เป็นเจ้าของฟรี ถ้าไม่มีที่ดินว่างเหลือแล้ว ให้ซิ้อที่ดินจากผู้เล่นคนอื่น
case7;คุณทานขนมหวานมากเกินไป ต้องจ่ายค่าขนม 2$ แก่ธนาคาร
case8;เลื่อนไปที่ดินสีส้ม หรือสีเขียว ถ้าไม่มีเจ้าของ มันเป็นของคุณ ถ้ามีเจ้าของแล้วคุณต้องจ่ายค่าเช่า
case9;เลื่อนไปที่ดินสีน้ำเงิน ถ้าไม่มีเจ้าของ มันเป็นของคุณ ถ้ามีเจ้าของแล้วคุณต้องจ่ายค่าเช่า
case10;คุณได้รับ "บัตรเป็นอิสระจากการถูกจำคุก" คุณสามารถใช้สิทธิ์นี้เมื่อต้องโทษจำคุก
case11;เลื่อนไปที่ "ชายหาด"
case12;ให้บัตรเสี่ยงโชคใบนี้กับผู้เล่นที่เป็นเมว เขาจะได้รับสิทธ์ย้ายไปที่ดินว่างในตาถัดไปและได้กรรมสิทธิ์เป็นเจ้าของฟรี ถ้าไม่มีที่ดินว่างเหลือแล้ว ให้ซิ้อที่ดินจากผู้เล่นคนอื่น
case13;ให้บัตรเสี่ยงโชคใบนี้กับผู้เล่นที่เป็นสุนัข เขาจะได้รับสิทธ์ย้ายไปที่ดินว่างในตาถัดไปและได้กรรมสิทธิ์เป็นเจ้าของฟรี ถ้าไม่มีที่ดินว่างเหลือแล้ว ให้ซิ้อที่ดินจากผู้เล่นคนอื่น
case14;สุขสันต์วันเกิด! คุณได้รับ 1$ จากทุกคน
case15; เลื่อนไปที่ที่ดินสีชมพู หรือสีน้ำเงิน ถ้าไม่มีเจ้าของ มันเป็นของคุณ ถ้ามีเจ้าของแล้วคุณต้องจ่ายค่าเช่า
case16;คุณทำการบ้านเสร็จหมดแล้ว คุณได้รับ 2$ จากธนาคาร
case17;เลื่อนไปที่ที่ดินสีแดง ถ้าไม่มีเจ้าของ มันเป็นของคุณ ถ้ามีเจ้าของแล้วคุณต้องจ่ายค่าเช่า
case18;เลื่อนไปที่ "ลานสเกต" ้าไม่มีเจ้าของ มันเป็นของคุณ ถ้ามีเจ้าของแล้วคุณต้องจ่ายค่าเช่า
case19;เลื่อนไปที่ที่ดินสีฟ้า หรือสีแดง ถ้าไม่มีเจ้าของ มันเป็นของคุณ ถ้ามีเจ้าของแล้วคุณต้องจ่ายค่าเช่า
case20;เลื่อนไปที่ที่ดินสีน้ำตาล หรือสีเหลือง ถ้าไม่มีเจ้าของ มันเป็นของคุณ ถ้ามีเจ้าของแล้วคุณต้องจ่ายค่าเช่า
throwDice;โยนลูกเต๋า!
chooseLanguage;เลือกภาษา
howManyPlayers;มีผู้เล่นกี่คน?
tooManyOrFew;มีผู้เล่นมากหรือน้อยเกินไป..
enterAge;ระบุอายุผู้เล่น
enterPlayerName;กรุณาระบุชื่อ
playerNameTaken;ชื่อนี้ถูกใช้แล้ว กรุณาเลือกชิ่ออื่น
addedPlayer;เพิ่มผู้เล่น
gotojailprompt;is sent to jail.
BoughtField;ซื้อที่ดิน
YouPay;คุณต้องจ่าย
PaysRent;จ่ายค่าเช่าที่ดินให้กับ
RentDoubled;ที่ดินถูกจับจองมีเจ้าของหมดแล้ว! ค่าเช่าจึงเพิ่มขึ้นอีกเท่าตัว
WonTheGame;เป็นผู้ชนะ!
yesTxt;ใช่
noTxt;ไม่
restartQuestion;คุณต้องการรีสตาร์ทเกมหรือไม่?
